trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
234,0,234,0,None,None,None,None,1375.5919168999972,1376.6043331999972,1376.6043331999972,1376.9046110999989,1376.6043331999972,1376.9046110999989,1375.5919168999972,1377.922275799996,1376.9046110999989,1377.9062831999981,1377.9062831999981,1379.0567226999992,left,0.08092749999923399,1379.0567226999992,None,0.12,180.0,180,1,1.0,1,55814.658845,1374.58593708,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
235,0,235,0,None,None,None,None,1380.1791851999951,1381.1921031999955,1381.1921031999955,1381.4926414000001,1381.1921031999955,1381.4926414000001,1380.1791851999951,1382.5102103999961,1381.4926414000001,1382.49381,1382.49381,1383.6450415,right,0.24458919999597128,1383.6450415,None,0.12,0.0,0,1,0.0,1,55819.246411,1379.1737133800025,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
236,0,236,0,None,None,None,None,1384.933612599998,1385.9469534999953,1385.9469534999953,1386.247443399996,1385.9469534999953,1386.247443399996,1384.933612599998,1387.265015500001,1386.247443399996,1387.2482098999972,1387.2482098999972,1388.3995622000002,right,0.10602089999883901,1388.3995622000002,None,0.03,0.0,0,1,0.0,1,55824.000726,1383.9288514799964,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
237,0,237,0,None,None,None,None,1389.5545758999942,1390.568229299999,1390.568229299999,1390.868581099996,1390.568229299999,1390.868581099996,1389.5545758999942,1391.8862238000002,1390.868581099996,1391.8695242999966,1391.8695242999966,1393.0207827999984,left,0.16471469999669353,1393.0207827999984,None,0.24,180.0,180,1,1.0,1,55828.621166,1388.5501788800002,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
238,0,238,0,None,None,None,None,1394.225681099997,1395.2396922999978,1395.2396922999978,1395.5396559,1395.2396922999978,1395.5396559,1394.225681099997,1396.5577201999986,1395.5396559,1396.5409467999998,1396.5409467999998,1397.6920022999984,left,0.18950190000032308,1397.6920022999984,None,0.48,180.0,180,1,0.0,0,55833.293083,1393.2212465800012,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
239,0,239,0,None,None,None,None,1398.9297234999976,1399.9444722999979,1399.9444722999979,1400.244984799996,1399.9444722999979,1400.244984799996,1398.9297234999976,1401.2622906999968,1400.244984799996,1401.2455150999958,1401.2455150999958,1402.396753000001,left,0.2608544000031543,1402.396753000001,None,0.06,0.0,180,0,0.0,1,55837.997478,1397.925808680001,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
240,0,240,0,None,None,None,None,1403.7024068999963,1404.7157965000006,1404.7157965000006,1405.0160554999966,1404.7157965000006,1405.0160554999966,1403.7024068999963,1406.0337755,1405.0160554999966,1406.0172850999952,1406.0172850999952,1407.168455299994,right,0.09727640000346582,1407.168455299994,None,0.48,0.0,0,1,0.0,1,55842.769488,1402.6969930800014,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
241,0,241,0,None,None,None,None,1408.305918099999,1409.3202104999946,1409.3202104999946,1409.6204445999974,1409.3202104999946,1409.6204445999974,1408.305918099999,1410.6381464000006,1409.6204445999974,1410.6216606999951,1410.6216606999951,1411.7733571999997,left,0.16398089999711374,1411.7733571999997,None,0.24,180.0,180,1,0.0,0,55847.372969,1407.3016511799988,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
242,0,242,0,None,None,None,None,1412.979913999996,1413.9916023999976,1413.9916023999976,1414.2919495999959,1413.9916023999976,1414.2919495999959,1412.979913999996,1415.3095145999978,1414.2919495999959,1415.292952099997,1415.292952099997,1416.444283799996,right,0.213030400002026,1416.444283799996,None,0.03,0.0,0,1,0.0,1,55852.045659,1411.9735071799996,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
243,0,243,0,None,None,None,None,1417.7014645999952,1418.7129926999987,1418.7129926999987,1419.0135137999969,1418.7129926999987,1419.0135137999969,1417.7014645999952,1420.0309357000006,1419.0135137999969,1420.0142752999964,1420.0142752999964,1421.165120699996,left,0.16449329999886686,1421.165120699996,None,0.06,0.0,180,0,1.0,0,55856.769012,1416.6940921800024,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
